Date,Oficial,CCL
2019-01-02,37.584999084472656,37.55375615310697
2019-01-03,37.763999938964844,37.62312458120604
2019-01-04,37.44599914550781,37.11833741055965
2019-01-07,37.30400085449219,37.613127302561495
2019-01-08,37.29800033569336,37.032223631072235
2019-01-09,37.5369987487793,37.22690693304903
2019-01-10,37.356998443603516,36.99269925883194
2019-01-11,37.35599899291992,36.99706953311161
2019-01-14,36.92900085449219,36.88171681092704
2019-01-15,36.97600173950195,36.950759389377545
2019-01-16,37.117000579833984,37.88949348110648
2019-01-17,37.47200012207031,37.51683172966977
2019-01-18,37.68199920654297,37.94148140821634
2019-01-21,37.59299850463867,37.57503631766714
2019-01-22,37.805999755859375,37.208591227117935
2019-01-23,37.50299835205078,37.80452929987596
2019-01-24,37.518001556396484,37.2735364035813
2019-01-25,37.375999450683594,36.9550600792414
2019-01-28,37.159000396728516,37.64121300337054
2019-01-29,37.1150016784668,37.61260029485026
2019-01-30,37.625999450683594,37.26204625597984
2019-01-31,37.48500061035156,37.073113627181606
2019-02-01,37.28900146484375,37.05193301807249
2019-02-04,37.15700149536133,37.1165637326805
2019-02-05,37.14500045776367,37.266493387228984
2019-02-06,37.20370101928711,37.99772056456043
2019-02-07,37.51599884033203,37.23119015888905
2019-02-08,37.81399917602539,37.80326073418058
2019-02-11,37.83599853515625,38.12059922750476
2019-02-12,37.93199920654297,38.16759306234516
2019-02-13,37.957000732421875,38.39599666652358
2019-02-14,38.16899871826172,38.43985066996242
2019-02-15,38.1870002746582,38.75903043113628
2019-02-18,38.599998474121094,39.09029736428569
2019-02-19,38.715999603271484,39.421564297435104
2019-02-20,39.268001556396484,39.69811843961034
2019-02-21,39.66299819946289,39.42125670442733
2019-02-22,39.51750183105469,39.16063163923316
2019-02-25,39.448001861572266,39.30179939049792
2019-02-26,39.016998291015625,39.283607598261476
2019-02-27,38.875,39.334262098192305
2019-02-28,38.7599983215332,39.51701302395954
2019-03-01,39.12200164794922,40.40034614626375
2019-03-06,39.83000183105469,41.39822999997352
2019-03-07,40.718299865722656,42.6184209493481
2019-03-08,42.42900085449219,41.63640338408606
2019-03-11,41.2130012512207,41.318999588309396
2019-03-12,41.25,41.16467001713366
2019-03-13,41.48699951171875,41.134019133422484
2019-03-14,41.24399948120117,40.83359750162221
2019-03-15,40.73899841308594,40.008222747769125
2019-03-18,40.01599884033203,40.08282341184727
2019-03-19,40.03300094604492,40.274619242421466
2019-03-20,40.51499938964844,40.702873060691374
2019-03-21,40.849998474121094,41.01042987441002
2019-03-22,41.01599884033203,41.99037984917359
2019-03-25,40.95100021362305,42.09276839684578
2019-03-26,42.026100158691406,42.367789053974846
2019-03-27,42.62099838256836,43.96003693561263
2019-03-28,43.869998931884766,43.78646611211771
2019-03-29,43.61800003051758,43.37899810967375
2019-04-01,43.36800003051758,42.556088751676754
2019-04-03,42.709999084472656,42.682663990059375
2019-04-04,42.84000015258789,43.49983818549171
2019-04-05,43.400001525878906,43.873921487392906
2019-04-08,43.941001892089844,43.42489452389053
2019-04-09,43.7239990234375,43.21950003863597
2019-04-10,43.395999908447266,43.17043062408766
2019-04-11,42.983001708984375,43.02118636337042
2019-04-12,42.709999084472656,42.13319821293414
2019-04-15,42.14400100708008,41.89412587744779
2019-04-16,41.6150016784668,42.98029692703714
2019-04-17,42.322898864746094,42.2897842455434
2019-04-22,41.59600067138672,42.685165764988625
2019-04-23,41.54100036621094,42.398291917026334
2019-04-24,42.393001556396484,44.6145567465524
2019-04-25,43.92100143432617,45.07939788281456
2019-04-26,45.048099517822266,46.64580765962456
2019-04-29,44.99250030517578,44.717123927252516
2019-04-30,44.334999084472656,44.51460240374708
2019-05-02,44.316001892089844,45.00346515990528
2019-05-03,44.76250076293945,44.59091891721303
2019-05-06,44.542999267578125,45.015725062973495
2019-05-07,44.685001373291016,45.53002952615788
2019-05-08,45.26100158691406,45.86279144146039
2019-05-09,45.066001892089844,45.159992613037986
2019-05-10,45.22100067138672,45.77472333138055
2019-05-13,44.805999755859375,45.69471079874262
2019-05-14,45.145999908447266,45.30319912538378
2019-05-15,44.935001373291016,45.19386126473081
2019-05-16,44.97050094604492,45.38097011230616
2019-05-17,44.743900299072266,45.31313776725131
2019-05-20,44.96099853515625,45.60550669847075
2019-05-21,45.18600082397461,44.95782221740835
2019-05-22,,44.849296893488585
2019-05-23,44.86199951171875,45.30227363748139
2019-05-24,45.07400131225586,45.093983168437305
2019-05-27,44.972999572753906,45.02370005138786
2019-05-28,44.945098876953125,44.95341693433842
2019-05-29,44.665000915527344,44.60726879453928
2019-05-30,44.432899475097656,44.75106045198348
2019-05-31,44.55350112915039,44.787190243908256
2019-06-03,44.442501068115234,44.83999938964843
2019-06-04,44.85329818725586,44.457013382653976
2019-06-05,44.67499923706055,44.88320583375713
2019-06-06,44.90599822998047,44.85879716190399
2019-06-07,44.881099700927734,44.92885888779237
2019-06-10,44.888999938964844,44.746060740404026
2019-06-11,44.864498138427734,43.85964814437848
2019-06-12,44.680999755859375,43.16868906965789
2019-06-13,43.67499923706055,43.55359952265309
2019-06-14,43.505001068115234,44.24012045630734
2019-06-18,43.98529815673828,43.59928439504909
2019-06-19,43.439998626708984,43.45565834498838
2019-06-21,43.33100128173828,42.92411233964552
2019-06-24,42.7239990234375,42.5029177761338
2019-06-25,42.4119987487793,42.476985335473344
2019-06-26,42.3650016784668,42.717295731499625
2019-06-27,42.67599868774414,42.93718866372313
2019-06-28,42.6973991394043,42.70422707141285
2019-07-01,42.5099983215332,42.29794538096645
